note,note_clean,type,type_token,amount,date_time,category,model_text_textonly,model_text_with_type
Georges Khabbaz Play Ticket,georges khabbaz play ticket,Expense,[TYPE_EXPENSE],20.0,2024-08-08 16:51:00.350,Entertainment,georges khabbaz play ticket,[TYPE_EXPENSE] georges khabbaz play ticket
Play tickets Back,play tickets back,Income,[TYPE_INCOME],1.1,2024-07-08 17:23:02.089,Entertainment,play tickets back,[TYPE_INCOME] play tickets back
Bad Boys VOX Cinema + Popcorn Caramel,bad boys vox cinema popcorn caramel,Expense,[TYPE_EXPENSE],10.0,2024-07-08 17:21:32.787,Entertainment,bad boys vox cinema popcorn caramel,[TYPE_EXPENSE] bad boys vox cinema popcorn caramel
KillZone game,killzone game,Expense,[TYPE_EXPENSE],4.0,2023-08-07 20:28:51.361,Entertainment,killzone game,[TYPE_EXPENSE] killzone game
Angelo play ticket,angelo play ticket,Expense,[TYPE_EXPENSE],3.0,2023-05-26 17:05:00.000,Entertainment,angelo play ticket,[TYPE_EXPENSE] angelo play ticket
Adonis Concert (ticket),adonis concert ticket,Expense,[TYPE_EXPENSE],20.0,2023-04-06 12:51:19.587,Entertainment,adonis concert ticket,[TYPE_EXPENSE] adonis concert ticket
Chouwen,chouwen,Expense,[TYPE_EXPENSE],4.5,2023-08-07 14:25:32.698,Entertainment,chouwen,[TYPE_EXPENSE] chouwen
OnBoard (boardgames),onboard boardgames,Expense,[TYPE_EXPENSE],3.5,2024-06-22 22:01:56.010,Entertainment,onboard boardgames,[TYPE_EXPENSE] onboard boardgames
OnBoard,onboard,Expense,[TYPE_EXPENSE],2.6,2024-01-31 20:30:00.000,Entertainment,onboard,[TYPE_EXPENSE] onboard
OnBoard,onboard,Expense,[TYPE_EXPENSE],3.0,2024-01-31 20:30:00.000,Entertainment,onboard,[TYPE_EXPENSE] onboard
Laser Tag,laser tag,Expense,[TYPE_EXPENSE],3.4,2023-06-17 19:00:00.000,Entertainment,laser tag,[TYPE_EXPENSE] laser tag
Laser Tag (Battlefield),laser tag battlefield,Expense,[TYPE_EXPENSE],10.0,2023-06-17 19:00:00.000,Entertainment,laser tag battlefield,[TYPE_EXPENSE] laser tag battlefield
Escape the room Codex (Upside Down),escape the room codex upside down,Expense,[TYPE_EXPENSE],10.0,2023-06-08 18:00:00.000,Entertainment,escape the room codex upside down,[TYPE_EXPENSE] escape the room codex upside down
Ballroom (Pool),ballroom pool,Expense,[TYPE_EXPENSE],1.5,2023-02-10 21:59:27.000,Entertainment,ballroom pool,[TYPE_EXPENSE] ballroom pool
Ballroom,ballroom,Expense,[TYPE_EXPENSE],1.1,2023-02-09 20:00:23.000,Entertainment,ballroom,[TYPE_EXPENSE] ballroom
OnBoard,onboard,Expense,[TYPE_EXPENSE],0.9,2022-10-08 20:45:33.497,Entertainment,onboard,[TYPE_EXPENSE] onboard
The Link bowling,the link bowling,Expense,[TYPE_EXPENSE],1.7,2022-10-01 18:24:40.556,Entertainment,the link bowling,[TYPE_EXPENSE] the link bowling
OnBoard,onboard,Expense,[TYPE_EXPENSE],1.1,2022-08-27 20:38:47.305,Entertainment,onboard,[TYPE_EXPENSE] onboard
Kairos Armenia Trip,kairos armenia trip,Expense,[TYPE_EXPENSE],250.0,2026-03-23 21:53:53.751,Entertainment,kairos armenia trip,[TYPE_EXPENSE] kairos armenia trip
Ticket Armenia Trip,ticket armenia trip,Expense,[TYPE_EXPENSE],430.0,2025-05-21 10:29:49.633,Entertainment,ticket armenia trip,[TYPE_EXPENSE] ticket armenia trip
Cinema,cinema,Expense,[TYPE_EXPENSE],15.0,2023-01-06 20:30:10.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],25.0,2023-01-11 21:10:05.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],9.0,2023-01-17 20:00:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Theater,theater,Expense,[TYPE_EXPENSE],12.0,2023-02-04 19:45:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Cinema,cinema,Expense,[TYPE_EXPENSE],30.0,2023-02-09 21:30:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],45.0,2023-03-04 20:30:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],8.99,2023-03-09 21:00:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Theater,theater,Expense,[TYPE_EXPENSE],12.5,2023-04-04 20:00:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Cinema,cinema,Expense,[TYPE_EXPENSE],22.0,2023-04-09 21:15:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],14.0,2023-05-04 21:00:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],7.99,2023-05-09 20:00:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Theater,theater,Expense,[TYPE_EXPENSE],16.0,2023-06-04 20:30:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Cinema,cinema,Expense,[TYPE_EXPENSE],28.0,2023-06-09 21:20:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],10.0,2023-07-04 21:00:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],35.0,2023-07-09 20:45:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Theater,theater,Expense,[TYPE_EXPENSE],13.0,2023-08-04 20:10:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],9.99,2023-08-09 21:05:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Cinema,cinema,Expense,[TYPE_EXPENSE],20.0,2023-09-04 21:10:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],27.0,2023-09-09 20:50:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Theater,theater,Expense,[TYPE_EXPENSE],11.0,2023-10-04 20:20:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Cinema,cinema,Expense,[TYPE_EXPENSE],19.0,2023-10-09 21:10:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],13.5,2023-11-04 21:05:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],29.0,2023-11-09 20:55:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Theater,theater,Expense,[TYPE_EXPENSE],14.0,2023-12-04 20:40:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],8.99,2023-12-09 21:10:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Cinema,cinema,Expense,[TYPE_EXPENSE],18.0,2024-01-04 21:20:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],24.0,2024-01-09 20:55:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Theater,theater,Expense,[TYPE_EXPENSE],11.5,2024-02-04 20:30:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],9.99,2024-02-09 21:00:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Cinema,cinema,Expense,[TYPE_EXPENSE],17.0,2024-03-04 21:15:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],21.0,2024-03-09 20:40:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Theater,theater,Expense,[TYPE_EXPENSE],12.0,2024-04-04 20:00:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Cinema,cinema,Expense,[TYPE_EXPENSE],22.0,2024-04-09 21:15:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],14.0,2024-05-04 21:00:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],7.99,2024-05-09 20:00:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Theater,theater,Expense,[TYPE_EXPENSE],16.0,2024-06-04 20:30:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Cinema,cinema,Expense,[TYPE_EXPENSE],28.0,2024-06-09 21:20:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],10.0,2024-07-04 21:00:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],35.0,2024-07-09 20:45:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Theater,theater,Expense,[TYPE_EXPENSE],13.0,2024-08-04 20:10:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],9.99,2024-08-09 21:05:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Cinema,cinema,Expense,[TYPE_EXPENSE],20.0,2024-09-04 21:10:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],27.0,2024-09-09 20:50:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Theater,theater,Expense,[TYPE_EXPENSE],11.0,2024-10-04 20:20:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Cinema,cinema,Expense,[TYPE_EXPENSE],19.0,2024-10-09 21:10:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],13.5,2024-11-04 21:05:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],29.0,2024-11-09 20:55:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Theater,theater,Expense,[TYPE_EXPENSE],14.0,2024-12-04 20:40:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],8.99,2024-12-09 21:10:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Cinema,cinema,Expense,[TYPE_EXPENSE],18.0,2025-01-04 21:20:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],24.0,2025-01-09 20:55:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Theater,theater,Expense,[TYPE_EXPENSE],11.5,2025-02-04 20:30:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],9.99,2025-02-09 21:00:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Cinema,cinema,Expense,[TYPE_EXPENSE],17.0,2025-03-04 21:15:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],21.0,2025-03-09 20:40:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Theater,theater,Expense,[TYPE_EXPENSE],12.0,2025-04-04 20:00:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Cinema,cinema,Expense,[TYPE_EXPENSE],22.0,2025-04-09 21:15:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],14.0,2025-05-04 21:00:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],7.99,2025-05-09 20:00:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Theater,theater,Expense,[TYPE_EXPENSE],16.0,2025-06-04 20:30:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Cinema,cinema,Expense,[TYPE_EXPENSE],28.0,2025-06-09 21:20:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],10.0,2025-07-04 21:00:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],35.0,2025-07-09 20:45:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Theater,theater,Expense,[TYPE_EXPENSE],13.0,2025-08-04 20:10:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],9.99,2025-08-09 21:05:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Cinema,cinema,Expense,[TYPE_EXPENSE],20.0,2025-09-04 21:10:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],27.0,2025-09-09 20:50:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Theater,theater,Expense,[TYPE_EXPENSE],11.0,2025-10-04 20:20:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Cinema,cinema,Expense,[TYPE_EXPENSE],19.0,2025-10-09 21:10:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],13.5,2025-11-04 21:05:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],29.0,2025-11-09 20:55:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Theater,theater,Expense,[TYPE_EXPENSE],14.0,2025-12-04 20:40:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],8.99,2025-12-09 21:10:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Cinema,cinema,Expense,[TYPE_EXPENSE],18.0,2026-01-04 21:20:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],24.0,2026-01-09 20:55:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Theater,theater,Expense,[TYPE_EXPENSE],11.5,2026-02-04 20:30:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],9.99,2026-02-09 21:00:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Cinema,cinema,Expense,[TYPE_EXPENSE],17.0,2026-03-04 21:15:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Concert Ticket,concert ticket,Expense,[TYPE_EXPENSE],21.0,2026-03-09 20:40:00.000,Entertainment,concert ticket,[TYPE_EXPENSE] concert ticket
Theater,theater,Expense,[TYPE_EXPENSE],12.0,2026-04-04 20:00:00.000,Entertainment,theater,[TYPE_EXPENSE] theater
Cinema,cinema,Expense,[TYPE_EXPENSE],22.0,2026-04-09 21:15:00.000,Entertainment,cinema,[TYPE_EXPENSE] cinema
Cinema City - Dbayeh,cinema city - dbayeh,Expense,[TYPE_EXPENSE],18.0,2023-04-30 20:30:00.000,Entertainment,cinema city - dbayeh,[TYPE_EXPENSE] cinema city - dbayeh
Live Music Ticket - Hamra,live music ticket - hamra,Expense,[TYPE_EXPENSE],22.0,2023-05-09 21:00:00.000,Entertainment,live music ticket - hamra,[TYPE_EXPENSE] live music ticket - hamra
Theater Ticket - Beirut,theater ticket - beirut,Expense,[TYPE_EXPENSE],12.0,2023-06-06 20:15:00.000,Entertainment,theater ticket - beirut,[TYPE_EXPENSE] theater ticket - beirut
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],9.99,2023-06-16 21:05:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Cinema City,cinema city,Expense,[TYPE_EXPENSE],14.0,2023-07-06 21:00:00.000,Entertainment,cinema city,[TYPE_EXPENSE] cinema city
Concert Ticket - Beirut,concert ticket - beirut,Expense,[TYPE_EXPENSE],28.0,2023-07-16 20:45:00.000,Entertainment,concert ticket - beirut,[TYPE_EXPENSE] concert ticket - beirut
Theater Ticket,theater ticket,Expense,[TYPE_EXPENSE],13.0,2023-08-06 20:10:00.000,Entertainment,theater ticket,[TYPE_EXPENSE] theater ticket
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],9.99,2023-08-16 21:05:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Cinema City,cinema city,Expense,[TYPE_EXPENSE],20.0,2023-09-06 21:10:00.000,Entertainment,cinema city,[TYPE_EXPENSE] cinema city
Concert Ticket - Beirut,concert ticket - beirut,Expense,[TYPE_EXPENSE],27.0,2023-09-16 20:50:00.000,Entertainment,concert ticket - beirut,[TYPE_EXPENSE] concert ticket - beirut
Theater Ticket,theater ticket,Expense,[TYPE_EXPENSE],11.0,2023-10-06 20:20:00.000,Entertainment,theater ticket,[TYPE_EXPENSE] theater ticket
Cinema City,cinema city,Expense,[TYPE_EXPENSE],19.0,2023-10-16 21:10:00.000,Entertainment,cinema city,[TYPE_EXPENSE] cinema city
Streaming Subscription,streaming subscription,Expense,[TYPE_EXPENSE],13.5,2023-11-06 21:05:00.000,Entertainment,streaming subscription,[TYPE_EXPENSE] streaming subscription
Concert Ticket - Beirut,concert ticket - beirut,Expense,[TYPE_EXPENSE],29.0,2023-11-16 20:55:00.000,Entertainment,concert ticket - beirut,[TYPE_EXPENSE] concert ticket - beirut
Zouk Mikael Festival Ticket,zouk mikael festival ticket,Expense,[TYPE_EXPENSE],45.0,2023-05-21 20:00:00.000,Entertainment,zouk mikael festival ticket,[TYPE_EXPENSE] zouk mikael festival ticket
Beirut Souks Event,beirut souks event,Expense,[TYPE_EXPENSE],30.0,2023-05-22 19:30:00.000,Entertainment,beirut souks event,[TYPE_EXPENSE] beirut souks event
Byblos Casino Night,byblos casino night,Expense,[TYPE_EXPENSE],75.0,2023-06-12 22:30:00.000,Entertainment,byblos casino night,[TYPE_EXPENSE] byblos casino night
Live Concert Ticket,live concert ticket,Expense,[TYPE_EXPENSE],18.0,2023-06-23 21:10:00.000,Entertainment,live concert ticket,[TYPE_EXPENSE] live concert ticket
Theater Play Ticket,theater play ticket,Expense,[TYPE_EXPENSE],22.0,2023-07-07 20:30:00.000,Entertainment,theater play ticket,[TYPE_EXPENSE] theater play ticket
Festival Ticket - Local,festival ticket - local,Expense,[TYPE_EXPENSE],40.0,2023-07-17 21:00:00.000,Entertainment,festival ticket - local,[TYPE_EXPENSE] festival ticket - local
Streaming Service,streaming service,Expense,[TYPE_EXPENSE],12.0,2023-07-29 21:10:00.000,Entertainment,streaming service,[TYPE_EXPENSE] streaming service
Concert - Outdoor,concert - outdoor,Expense,[TYPE_EXPENSE],55.0,2023-08-08 20:30:00.000,Entertainment,concert - outdoor,[TYPE_EXPENSE] concert - outdoor
Theater Festival,theater festival,Expense,[TYPE_EXPENSE],28.0,2023-08-20 20:45:00.000,Entertainment,theater festival,[TYPE_EXPENSE] theater festival
Cinema - Local,cinema - local,Expense,[TYPE_EXPENSE],19.0,2023-08-30 21:00:00.000,Entertainment,cinema - local,[TYPE_EXPENSE] cinema - local
Hamra Street Live,hamra street live,Expense,[TYPE_EXPENSE],28.0,2023-09-29 21:10:00.000,Entertainment,hamra street live,[TYPE_EXPENSE] hamra street live
Byblos Festival Ticket,byblos festival ticket,Expense,[TYPE_EXPENSE],95.0,2023-09-30 20:00:00.000,Entertainment,byblos festival ticket,[TYPE_EXPENSE] byblos festival ticket
Live Theater - Beirut,live theater - beirut,Expense,[TYPE_EXPENSE],32.0,2023-10-21 20:30:00.000,Entertainment,live theater - beirut,[TYPE_EXPENSE] live theater - beirut
Comedy Night Ticket,comedy night ticket,Expense,[TYPE_EXPENSE],14.0,2023-11-01 21:00:00.000,Entertainment,comedy night ticket,[TYPE_EXPENSE] comedy night ticket
Outdoor Concert,outdoor concert,Expense,[TYPE_EXPENSE],48.0,2023-11-15 20:45:00.000,Entertainment,outdoor concert,[TYPE_EXPENSE] outdoor concert
Museum Entry,museum entry,Expense,[TYPE_EXPENSE],20.0,2023-11-26 15:00:00.000,Entertainment,museum entry,[TYPE_EXPENSE] museum entry
Streaming Service - Annual,streaming service - annual,Expense,[TYPE_EXPENSE],13.0,2023-12-08 21:00:00.000,Entertainment,streaming service - annual,[TYPE_EXPENSE] streaming service - annual
Festival - Local,festival - local,Expense,[TYPE_EXPENSE],33.0,2023-12-18 20:30:00.000,Entertainment,festival - local,[TYPE_EXPENSE] festival - local
Cinema - Premium,cinema - premium,Expense,[TYPE_EXPENSE],26.0,2023-12-30 21:15:00.000,Entertainment,cinema - premium,[TYPE_EXPENSE] cinema - premium
Concert - Indoor,concert - indoor,Expense,[TYPE_EXPENSE],44.0,2024-01-09 20:45:00.000,Entertainment,concert - indoor,[TYPE_EXPENSE] concert - indoor
Beirut Jazz Club,beirut jazz club,Expense,[TYPE_EXPENSE],32.0,2024-02-21 21:15:00.000,Entertainment,beirut jazz club,[TYPE_EXPENSE] beirut jazz club
Open Air Cinema,open air cinema,Expense,[TYPE_EXPENSE],18.5,2024-02-22 20:30:00.000,Entertainment,open air cinema,[TYPE_EXPENSE] open air cinema
Summer Music Fest,summer music fest,Expense,[TYPE_EXPENSE],55.0,2024-03-14 20:50:00.000,Entertainment,summer music fest,[TYPE_EXPENSE] summer music fest
Classical Concert,classical concert,Expense,[TYPE_EXPENSE],21.0,2024-03-25 19:30:00.000,Entertainment,classical concert,[TYPE_EXPENSE] classical concert
Art House Screening,art house screening,Expense,[TYPE_EXPENSE],29.0,2024-04-08 20:45:00.000,Entertainment,art house screening,[TYPE_EXPENSE] art house screening
Comedy Club Night,comedy club night,Expense,[TYPE_EXPENSE],16.0,2024-04-18 21:10:00.000,Entertainment,comedy club night,[TYPE_EXPENSE] comedy club night
Indie Film Night,indie film night,Expense,[TYPE_EXPENSE],24.0,2024-04-30 20:30:00.000,Entertainment,indie film night,[TYPE_EXPENSE] indie film night
Cultural Festival,cultural festival,Expense,[TYPE_EXPENSE],36.0,2024-05-10 21:00:00.000,Entertainment,cultural festival,[TYPE_EXPENSE] cultural festival
Beirut Jazz Club - Show,beirut jazz club - show,Expense,[TYPE_EXPENSE],32.0,2024-05-21 21:15:00.000,Entertainment,beirut jazz club - show,[TYPE_EXPENSE] beirut jazz club - show
Open Air Cinema - Park,open air cinema - park,Expense,[TYPE_EXPENSE],18.5,2024-05-22 20:30:00.000,Entertainment,open air cinema - park,[TYPE_EXPENSE] open air cinema - park
Summer Music Fest - Ticket,summer music fest - ticket,Expense,[TYPE_EXPENSE],55.0,2024-06-12 20:50:00.000,Entertainment,summer music fest - ticket,[TYPE_EXPENSE] summer music fest - ticket
Classical Concert - Hall,classical concert - hall,Expense,[TYPE_EXPENSE],21.0,2024-06-23 19:30:00.000,Entertainment,classical concert - hall,[TYPE_EXPENSE] classical concert - hall
Art House Screening - Ticket,art house screening - ticket,Expense,[TYPE_EXPENSE],29.0,2024-07-07 20:45:00.000,Entertainment,art house screening - ticket,[TYPE_EXPENSE] art house screening - ticket
Comedy Club Night - Ticket,comedy club night - ticket,Expense,[TYPE_EXPENSE],16.0,2024-07-17 21:10:00.000,Entertainment,comedy club night - ticket,[TYPE_EXPENSE] comedy club night - ticket
Indie Film Night - Ticket,indie film night - ticket,Expense,[TYPE_EXPENSE],24.0,2024-07-29 20:30:00.000,Entertainment,indie film night - ticket,[TYPE_EXPENSE] indie film night - ticket
Byblos Festival - Ticket,byblos festival - ticket,Expense,[TYPE_EXPENSE],48.0,2024-08-20 20:00:00.000,Entertainment,byblos festival - ticket,[TYPE_EXPENSE] byblos festival - ticket
Zouk Mikael Concert,zouk mikael concert,Expense,[TYPE_EXPENSE],32.0,2024-08-21 19:30:00.000,Entertainment,zouk mikael concert,[TYPE_EXPENSE] zouk mikael concert
Casino du Liban - Entry,casino du liban - entry,Expense,[TYPE_EXPENSE],38.0,2024-09-11 22:00:00.000,Entertainment,casino du liban - entry,[TYPE_EXPENSE] casino du liban - entry
